Stock,Year,Month,Stock Splits
CHK,2014,Jul,1.057
CHKP,2000,Jan,2.0
CHKP,2000,Jul,2.0
CHKP,2001,Feb,1.5
CHL,2000,Jul,4.0
CHNR,1999,Jun,0.1
CHRW,2000,Dec,2.0
CHRW,2005,Oct,2.0
CHS,2000,Jan,2.0
CHS,2001,May,1.5
CHS,2002,Jan,1.5
CHS,2002,Jul,2.0
CHS,2005,Feb,2.0
CHT,2006,Aug,1.02
CHT,2007,Dec,0.9090909090909091
CHT,2007,Jul,1.1
CHT,2008,Jan,1.0
CHT,2008,Oct,1.21
CHT,2009,Jul,1.1
CHT,2010,Jan,0.9091
CHT,2011,Jan,0.8
CI,2007,Jun,3.0
CIA,1999,Nov,1.07
CIA,2000,Nov,1.07
CIA,2002,Apr,1.15
CIA,2003,Nov,1.07
CIA,2004,Nov,1.07
CIA,2005,Dec,1.07
CIDM,2016,May,0.1
CIEN,2000,Sep,2.0
CIEN,2006,Sep,0.14285714285714285
CIG,2002,Apr,1.0
CIG,2007,Jun,2.0
CIG,2007,May,1.5
CIG,2008,Apr,1.0
CIG,2009,May,1.25
CIG,2010,Apr,1.0
CIG,2012,May,1.25
CIG,2013,May,1.128
CIG,2014,Jan,1.3076
CIGI,2004,Dec,2.0
CIGI,2015,Jun,1.709
CIM,2015,Apr,0.2
CINF,2004,Apr,1.05
CINF,2005,Apr,1.05
CIZN,2002,Jan,1.5
CJJD,2010,Apr,0.5
CKH,2000,Jun,1.5
CKH,2013,Feb,1.288
CKH,2017,Dec,1.034
CL,1999,Jul,2.0
CL,2013,May,2.0
CLB,2010,Jul,2.0
CLBS,2006,Aug,0.1
CLBS,2007,Aug,0.1
CLBS,2013,Jul,0.1
CLBS,2016,Jul,0.1
CLCT,2002,Dec,0.25
CLCT,2008,Oct,1.1
CLDB,1999,Dec,1.03
CLDB,2000,Dec,1.03
CLDB,2001,Dec,1.03
CLDB,2002,Dec,1.03
CLDB,2003,Dec,1.03
CLDB,2004,Dec,1.03
CLDB,2005,Dec,1.03
CLDB,2006,Dec,1.02
CLDB,2007,Dec,1.01
CLDB,2008,Dec,1.01
CLDB,2009,Mar,1.01
CLDX,2007,Mar,1.0
CLDX,2008,Mar,0.08333333333333333
CLDX,2019,Feb,0.06666666666666667
CLF,2005,Jan,2.0
CLF,2006,Jul,2.0
CLF,2008,May,2.0
CLGX,2010,Jun,1.7516202487300754
CLH,2011,Jul,2.0
CLNY,2017,Jan,1.0
CLPT,2016,Jul,0.025
CLR,2014,Sep,2.0
CLRB,2011,Apr,0.006535947712418301
CLRB,2014,Jun,0.05
CLRB,2016,Mar,0.1
CLRB,2018,Jul,0.1
CLS,1999,Dec,2.0
CLSK,2015,May,3.0
CLSK,2019,Dec,0.1
CLSN,2006,Feb,0.06666666666666667
CLSN,2013,Oct,0.222
CLSN,2017,May,0.07142857142857142
CLW,2011,Aug,2.0
CLWT,1999,Sep,1.2
CLWT,2001,Sep,1.3
CLWT,2003,Sep,1.4
CLWT,2004,Aug,1.5
CLWT,2012,Jan,0.18181818181818182
CLX,1999,Aug,2.0
CMC,2002,Jul,2.0
CMC,2005,Jan,2.0
CMC,2006,May,2.0
CMCL,2013,Apr,0.1
CMCL,2017,Jun,0.2
CMCSA,1999,May,2.0
CMCSA,2007,Feb,1.5
CMCSA,2017,Feb,2.0
CMCT,2014,Apr,0.2
CMCT,2019,Sep,0.3333333333333333
CMD,2002,May,1.5
CMD,2005,Jan,1.5
CMD,2012,Feb,1.5
CMD,2013,Jul,1.5
CME,2012,Jul,6.0
CMI,2007,Apr,2.0
