Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock,Year,Month
2019-10-01,117.19,118.45,109.65,115.79,70555400.0,0.0,0.0,AXP,2019,Oct
2019-11-01,117.35,121.33,116.7,119.04,46669000.0,0.0,0.0,AXP,2019,Nov
2019-12-01,119.23,125.2,113.62,123.37,63636800.0,0.0,0.0,AXP,2019,Dec
1999-01-01,24.64,27.5,23.85,27.04,156360000.0,0.0,0.0,JPM,1999,Jan
1999-02-01,27.24,29.24,25.27,28.2,121635700.0,0.0,0.0,JPM,1999,Feb
1999-03-01,28.15,31.69,27.97,28.82,115616500.0,0.0,0.0,JPM,1999,Mar
1999-04-01,28.64,32.27,27.73,29.21,110741800.0,0.0,0.0,JPM,1999,Apr
1999-04-01,,,,,,0.40995,0.0,JPM,1999,Apr
1999-05-01,29.26,30.46,25.69,25.82,113154900.0,0.0,0.0,JPM,1999,May
1999-06-01,25.78,30.91,25.02,30.86,100821600.0,0.0,0.0,JPM,1999,Jun
1999-07-01,30.53,31.0,27.21,27.5,83632400.0,0.0,0.0,JPM,1999,Jul
1999-07-01,,,,,,0.40995,0.0,JPM,1999,Jul
1999-08-01,27.65,31.8,26.08,30.07,104188500.0,0.0,0.0,JPM,1999,Aug
1999-09-01,30.07,30.81,26.08,27.09,127372500.0,0.0,0.0,JPM,1999,Sep
1999-10-01,27.0,32.07,23.65,31.35,138489900.0,0.0,0.0,JPM,1999,Oct
1999-11-01,31.39,31.66,27.65,27.99,98715200.0,0.0,0.0,JPM,1999,Nov
1999-12-01,27.95,30.21,26.11,28.15,97816700.0,0.0,0.0,JPM,1999,Dec
2000-01-01,27.09,29.53,24.73,29.24,163663500.0,0.0,0.0,JPM,2000,Jan
2000-02-01,30.13,31.57,27.25,29.1,132967800.0,0.0,0.0,JPM,2000,Feb
2000-03-01,29.19,36.82,28.19,31.86,165478100.0,0.0,0.0,JPM,2000,Mar
2000-04-01,32.14,33.99,26.22,26.36,149968800.0,0.0,0.0,JPM,2000,Apr
2000-05-01,26.7,28.36,25.09,27.51,155677300.0,0.0,0.0,JPM,2000,May
2000-06-01,27.95,30.34,24.38,25.45,140779400.0,0.0,0.0,JPM,2000,Jun
2000-07-01,25.34,29.7,25.34,27.52,84149300.0,0.0,0.0,JPM,2000,Jul
2000-08-01,27.75,31.47,27.61,31.09,139772000.0,0.0,0.0,JPM,2000,Aug
2000-09-01,31.54,32.48,24.79,25.7,233944700.0,0.0,0.0,JPM,2000,Sep
2000-10-01,25.94,26.77,18.01,25.31,245473100.0,0.0,0.0,JPM,2000,Oct
2000-11-01,25.49,26.05,19.85,20.66,155467700.0,0.0,0.0,JPM,2000,Nov
